Number,FeatureName
1,diagnostics_Image-original_Mean
2,diagnostics_Image-original_Minimum
3,diagnostics_Image-original_Maximum
4,diagnostics_Mask-original_VoxelNum
5,diagnostics_Mask-original_VolumeNum
6,original_shape_Elongation
7,original_shape_Flatness
8,original_shape_LeastAxisLength
9,original_shape_MajorAxisLength
10,original_shape_Maximum2DDiameterColumn
11,original_shape_Maximum2DDiameterRow
12,original_shape_Maximum2DDiameterSlice
13,original_shape_Maximum3DDiameter
14,original_shape_MeshVolume
15,original_shape_MinorAxisLength
16,original_shape_Sphericity
17,original_shape_SurfaceArea
18,original_shape_SurfaceVolumeRatio
19,original_shape_VoxelVolume
20,original_firstorder_10Percentile
21,original_firstorder_90Percentile
22,original_firstorder_Energy
23,original_firstorder_Entropy
24,original_firstorder_InterquartileRange
25,original_firstorder_Kurtosis
26,original_firstorder_Maximum
27,original_firstorder_MeanAbsoluteDeviation
28,original_firstorder_Mean
29,original_firstorder_Median
30,original_firstorder_Minimum
31,original_firstorder_Range
32,original_firstorder_RobustMeanAbsoluteDeviation
33,original_firstorder_RootMeanSquared
34,original_firstorder_Skewness
35,original_firstorder_TotalEnergy
36,original_firstorder_Uniformity
37,original_firstorder_Variance
38,original_glcm_Autocorrelation
39,original_glcm_JointAverage
40,original_glcm_ClusterProminence
41,original_glcm_ClusterShade
42,original_glcm_ClusterTendency
43,original_glcm_Contrast
44,original_glcm_Correlation
45,original_glcm_DifferenceAverage
46,original_glcm_DifferenceEntropy
47,original_glcm_DifferenceVariance
48,original_glcm_JointEnergy
49,original_glcm_JointEntropy
50,original_glcm_Imc1
51,original_glcm_Imc2
52,original_glcm_Idm
53,original_glcm_Idmn
54,original_glcm_Id
55,original_glcm_Idn
56,original_glcm_InverseVariance
57,original_glcm_MaximumProbability
58,original_glcm_SumEntropy
59,original_glcm_SumSquares
60,original_glrlm_GrayLevelNonUniformity
61,original_glrlm_GrayLevelNonUniformityNormalized
62,original_glrlm_GrayLevelVariance
63,original_glrlm_HighGrayLevelRunEmphasis
64,original_glrlm_LongRunEmphasis
65,original_glrlm_LongRunHighGrayLevelEmphasis
66,original_glrlm_LongRunLowGrayLevelEmphasis
67,original_glrlm_LowGrayLevelRunEmphasis
68,original_glrlm_RunEntropy
69,original_glrlm_RunLengthNonUniformity
70,original_glrlm_RunLengthNonUniformityNormalized
71,original_glrlm_RunPercentage
72,original_glrlm_RunVariance
73,original_glrlm_ShortRunEmphasis
74,original_glrlm_ShortRunHighGrayLevelEmphasis
75,original_glrlm_ShortRunLowGrayLevelEmphasis
